만 0~6세,,,,,,
예) 3,사회성 / 언어 / 인지 / 신체 발달,,예) 10분 아이컨텍,상세 미션 설명,예) 정서적 안정감,
아이 개월수,태그1,미션 수행 길이,미션 키워드,미션,효과,자료 출처*
2,사회성,3분,미소 응답,아이가 웃을 때 눈을 맞추며 함께 환하게 웃어주기,긍정적 애착 및 사회적 미소 유발,CDC
2,사회성,1분,1분 포옹,퇴근 후 1분간 아이를 가만히 품에 안고 체온 나누기,주양육자와의 정서적 유대감 재확인,UNICEF
2,사회성,3분,스킨십 수유,거울 속 아이 모습을 가리키며 이름 불러주기,자아 인식의 시작 및 시각적 즐거움,WHO
2,사회성,5분,얼굴 마주보기,아이가 소리 낼 때 크게 웃으며 박수 쳐주기,자기 효능감 및 상호작용 의지 고취,Harvard
2,사회성,5분,부드러운 대답,"얼굴을 가렸다 나타나며 ""까꿍"" 소리 들려주기",대상 영속성 기초 및 사회적 유희 학습,CDC
2,사회성,5분,심장 소리,"아이의 표정을 읽고 ""기쁘구나"", ""슬프구나"" 말해주기",감정 인지 및 정서 조절력의 기초,UNICEF
2,사회성,1분,재회 인사,"출근 시 손을 흔들며 ""안녕"" 인사 반복하기",비언어적 소통 신호 및 이별 의식 학습,WHO
2,사회성,5분,기저귀 스킨십,문 뒤에 살짝 숨었다 나타나며 아이 찾기,분리 불안 완화 및 정서적 회복탄력성,Harvard
2,사회성,상시,평온한 목소리,불안해할 때 평소 좋아하는 인형이나 담요 쥐여주기,이행기 대상을 통한 심리적 안정 유지,CDC
2,사회성,3분,관찰하며 기다리기,음악에 맞춰 아이와 마주 보고 함께 손뼉 치기,공동 참여의 즐거움 및 사회적 협력,UNICEF
2,언어,5분,옹알이 복창,아이가 내는 소리를 그대로 똑같이 따라 하기,발성 의지 고취 및 상호 소통의 기초 학습,CDC
2,언어,3분,의성어 파티,"""우르르"", ""까르르"" 등 재미있는 소리 들려주기",청각적 자극 및 언어적 호기심 유발,UNICEF
2,언어,3분,단어 중계,"""지금 기저귀 갈자"" 등 현재 행동을 말로 설명하기",단어와 상황의 연결 및 어휘력 기초 형성,Harvard
2,언어,10분,자장가 노래,낮고 느린 리듬의 자장가를 반복해서 불러주기,소리의 리듬감 인지 및 수면 안정 도움,WHO
2,언어,1분,이름 부르기,아이의 이름을 부르고 눈을 맞출 때까지 기다리기,자기 이름 소리에 대한 인지력 향상,CDC
2,언어,3분,높낮이 대화,목소리 톤을 높였다 낮췄다 하며 과장되게 말하기,소리 변별력 향상 및 주의 집중력 유도,Harvard
2,언어,2분,일상 소리 들려주기,"물소리, 종소리 등을 들려주며 소리 이름 말하기",주변 환경에 대한 청각적 이해력 증진,UNICEF
2,언어,5분,동화책 소리,그림책의 글자를 노래하듯 리듬감 있게 읽어주기,음성 언어에 대한 친숙도 및 정서적 교감,WHO
2,언어,2분,입술 소리,"""푸푸"", ""쪼옥"" 등 입술을 활용한 소리 들려주기",조음 기관 관찰 및 모방 욕구 자극,CDC
2,언어,3분,미소 섞인 말,말을 할 때 입 모양과 표정을 크게 지어 보이기,비언어적 소통 신호 및 표정 인지 도움,Harvard
2,인지,5분,흑백 모빌,대비가 강한 흑백 모빌을 시선 따라 움직여주기,시각적 초점 맞추기 및 안구 협응력 발달,CDC
2,인지,2분,소리 찾기,시야 밖에서 딸랑이를 흔들어 고개 돌리게 하기,청각적 공간 인지 및 소리 근원 추적 능력,WHO
2,인지,3분,거울 관찰,안전 거울을 보여주며 움직이는 형체 보게 하기,시각적 탐색 및 자기 모습 인지 기초,UNICEF
2,인지,1분,사라진 얼굴,"손으로 얼굴을 가렸다 ""까꿍"" 하며 나타나기",대상 영속성(초기) 및 예측 능력 형성,Harvard
2,인지,2분,빛 따라가기,은은한 손전등 불빛을 벽에 비춰 천천히 움직이기,동체 시력 발달 및 주의 집중력 강화,CDC
2,인지,3분,다른 질감,부드러운 수건과 미끄러운 비닐을 차례로 만지게 하기,촉각 변별력 및 감각 정보 처리 능력,WHO
2,인지,5분,손 탐색,아이가 자기 손을 빤히 볼 때 방해하지 않고 두기,자기 신체에 대한 인지 및 집중력 발달,UNICEF
2,인지,2분,패턴 카드,기하학적 문양의 카드를 20초간 고정해서 보여주기,시각적 정보 처리 및 뇌 시각 피질 자극,Harvard
2,인지,2분,물체 도달,손을 뻗으면 닿을락 말락 한 거리에 장난감 두기,거리 감각 형성 및 목표 지향적 태도,CDC
2,인지,1분,냄새 탐구,엄마의 향기나 과일 향을 코끝에 살짝 대주기,후각 자극을 통한 감각 확장 및 안정감,UNICEF
2,신체,3분,터미타임,엎드린 자세에서 스스로 고개 들게 응원하기,목과 상체 근육 강화 및 대근육 발달,CDC
2,신체,2분,손가락 쥐기,엄마의 검지를 아이 손바닥에 올려 꽉 쥐게 하기,파악 반사 자극 및 손아귀 힘 강화,WHO
2,신체,5분,발차기 팡팡,발밑에 소리 나는 비닐을 두어 발로 차게 하기,하체 근력 및 인과관계(차면 소리 난다) 인지,UNICEF
2,신체,5분,쭉쭉이 체조,팔다리를 부드럽게 늘려주는 스트레칭 하기,신체 유연성 향상 및 혈액 순환 촉진,Harvard
2,신체,3분,자전거 다리,누운 아이의 다리를 잡고 자전거 타듯 굴려주기,고관절 발달 및 소화 기능(가스 배출) 도움,CDC
2,신체,2분,손 펴주기,주먹 쥐고 있는 아이의 손가락을 하나씩 펴주기,소근육 긴장 완화 및 촉각 자극,WHO
2,신체,1분,목 가누기 지원,세워 안았을 때 목 근육을 스스로 쓰게 잠시 손 떼기,목 지지력 및 균형 감각 향상,UNICEF
2,신체,2분,옆으로 굴리기,아이 몸을 옆으로 살짝 굴려 옆면 감각 느끼게 하기,전신 근육 협응 및 뒤집기 준비,CDC
2,신체,2분,발바닥 자극,부드러운 솔이나 천으로 발바닥을 쓸어주기,말초 신경 자극 및 신체 지각 능력 향상,WHO
2,신체,2분,팔 벌리기,아이 양팔을 옆으로 폈다 가슴으로 모으기 10회,가슴 근육 발달 및 호흡 기능 강화,Harvard
4,사회성,3분,웃음 유도,아이의 배에 바람을 넣는 소리를 내어 크게 웃기기,긍정적 정서 공유 및 사회적 웃음 강화,CDC
4,사회성,2분,표정 따라하기,아이가 짓는 표정을 엄마가 똑같이 따라 하기,거울 신경 자극 및 공감 능력 기초 형성,Harvard
4,사회성,5분,거울 속 나,"거울을 보며 ""이게 누구지? OO이네!"" 말하기",자아 인식의 시작 및 시각적 유대감,WHO
4,사회성,1분,사람 소리 반응,밖에서 아빠 목소리가 들리면 소리 난 쪽 가리키기,주변 사람에 대한 관심 및 사회적 경청,UNICEF
4,사회성,3분,까꿍 손수건,손수건 뒤에 얼굴을 숨겼다 환하게 나타나기,분리 불안 예방 및 대상 영속성 기초,CDC
4,사회성,10분,목욕 물놀이,손바닥으로 물을 튀기며 아이와 즐거운 감정 나누기,감각 통합 및 일상 활동의 즐거움 인지,WHO
4,사회성,5분,사회적 참조,새로운 물건을 볼 때 엄마가 먼저 안심하며 웃기,부모의 감정을 통한 상황 판단 능력 배양,Harvard
4,사회성,5분,포옹 요청 응답,아이가 팔을 벌리면 즉시 환한 표정으로 안아주기,정서적 안전기지 구축 및 신뢰감 강화,UNICEF
4,사회성,2분,기다려주기,아이가 옹알이할 때 말을 끊지 않고 끝까지 듣기,의사소통의 주도성 인정 및 자존감 형성,CDC
4,사회성,3분,낯가림 보호,낯선 사람 앞에서 아이를 품에 꼭 안아 안심시키기,심리적 울타리 제공 및 불안감 완화,WHO
4,언어,5분,모음 반복,"""아~"", ""오~"" 같은 아이의 모음 소리 응대하기",발성 근육 발달 및 언어적 상호작용 강화,CDC
4,언어,7분,사물 이름 붙이기,아이가 쳐다보고 있는 장난감 이름 말해주기,명칭 인지 및 수용 언어 발달 기초,Harvard
4,언어,3분,노래 끊기,동요를 부르다 갑자기 멈추고 아이 반응 기다리기,언어적 기대감 형성 및 소리 유도,UNICEF
4,언어,5분,일상 방송,"""지금은 로션 바르는 시간이야""라고 일과 중계하기",문장 구조 노출 및 상황 인지 능력 향상,WHO
4,언어,2분,입술 소리 연습,"""푸푸"", ""빠빠"" 등 입술을 부딪치는 소리 들려주기",조음 기관(입술) 조절력 및 모방력 향상,CDC
4,언어,5분,그림책 가리키기,"큰 그림을 손으로 짚으며 ""멍멍이""라고 말해주기",시각적 집중과 단어의 연합 능력 발달,UNICEF
4,언어,3분,의문문 대화,"""배고팠어?"", ""졸려요?"" 등 톤을 높여 질문하기",소리의 리듬감 파악 및 대화 형식 학습,Harvard
4,언어,1분,이름 부르기 응답,이름을 불렀을 때 고개를 돌리면 크게 칭찬하기,언어적 신호에 대한 반응 속도 향상,WHO
4,언어,1분,기침 소리 모방,아이가 내는 헛기침이나 소리를 유머러스하게 따라 하기,소리 조절에 대한 흥미 및 유대감 형성,CDC
4,언어,5분,천천히 말하기,평소보다 아주 천천히 입 모양을 강조해 말하기,언어 정보 처리 능력 및 모방 시도 도움,Harvard
4,인지,2분,낙하 관찰,장난감을 눈앞에서 떨어뜨려 바닥을 보게 하기,중력 인지 및 물체의 움직임 추적 발달,CDC
4,인지,5분,장난감 교체,다른 소리가 나는 장난감 두 개를 번갈아 보여주기,자극에 대한 변별력 및 주의 전환 능력,WHO
4,인지,3분,부분 숨기기,담요 아래 반쯤 숨긴 장난감을 아이가 꺼내게 하기,대상 영속성 심화 및 문제 해결 기초,UNICEF
4,인지,5분,인과관계 버튼,누르면 소리 나는 버튼을 아이 손으로 함께 누르기,행동과 결과의 연결(인과관계) 이해,Harvard
4,인지,3분,질감 대비,보들보들한 털과 딱딱한 나무를 번갈아 대주기,촉각 정보 분류 및 뇌 감각 피질 발달,CDC
4,인지,2분,자기 발 탐색,누운 상태에서 아이의 발을 얼굴 쪽으로 가져다주기,신체 도식(내 몸에 대한 인지도) 형성,WHO
4,인지,2분,색깔 포인트,"원색(빨강, 파랑) 장난감을 좌우로 움직여 보여주기",색채 변별력 및 동체 시력 강화,UNICEF
4,인지,1분,물건 쥐기 도전,손을 뻗으면 간신히 닿는 거리에 장난감 두기,거리 감각 및 목표 달성 욕구 자극,Harvard
4,인지,2분,소리 위치 찾기,보이지 않는 곳에서 딸랑이를 흔들어 방향 찾게 하기,청각적 공간 인지 및 방향 감각 발달,CDC
4,인지,2분,기대 유발,"""뭐가 나올까?"" 하며 보자기 속 장난감 궁금하게 하기",호기심 자극 및 인지적 추론 유도,WHO
4,신체,5분,뒤집기 응원,몸을 옆으로 비틀 때 엉덩이를 살짝 밀어 돕기,전신 근육 협응 및 뒤집기 성공 경험,CDC
4,신체,3분,상체 지지,엎드린 자세에서 양팔로 바닥을 밀고 버티게 하기,"팔, 어깨, 등 근육 강화 및 배밀이 준비",WHO
4,신체,5분,물건 옮겨 쥐기,한 손에 쥔 물건을 다른 손으로 옮기게 유도하기,양손 협응력 및 소근육 조절력 발달,UNICEF
4,신체,2분,비행기 체조,아이 배를 받쳐 들고 하늘을 나는 자세 취하기,전정 감각(평형) 발달 및 척추 근력 강화,Harvard
4,신체,2분,다리 힘 기르기,부모 무릎에 세워 다리에 힘을 주어 버티게 돕기,하체 근력 강화 및 서기 기초 마련,CDC
4,신체,5분,양손 쥐기,두 손에 각각 다른 장난감을 쥐여주기,뇌 양쪽 반구 자극 및 협응력 향상,WHO
4,신체,3분,목 가누기 완성,안고 있을 때 아이가 고개를 자유롭게 돌리게 두기,목 근육의 완전한 조절 및 시야 확장,UNICEF
4,신체,5분,쭉쭉이 마사지,다리와 팔을 길게 늘려주며 관절 가동 범위 넓히기,신체 지각력 향상 및 성장판 자극,Harvard
4,신체,3분,손바닥 펴기,장난감을 쥘 때 손바닥을 활짝 펴서 잡게 유도하기,손바닥 근육 이완 및 정교한 쥐기 기초,CDC
4,신체,5분,활동적 터미타임,엎드린 아이 앞에 거울이나 장난감 두어 시선 끌기,상체 유지 시간 연장 및 대근육 자신감,WHO
6,사회성,상시,낯가림 배려,낯선 사람 앞에서 아이를 억지로 안기지 않고 지켜보기,불안감 조절 및 부모에 대한 신뢰 강화,CDC
6,사회성,5분,까꿍 놀이 심화,문 뒤에 숨었다가 얼굴을 내밀며 이름 부르기,대상 영속성 확립 및 분리 불안 완화,Harvard
6,사회성,5분,감정 읽어주기,"아이가 짜증 낼 때 ""답답했구나?""라고 마음 읽어주기",감정 언어화 및 정서 조절 능력의 기초,UNICEF
6,사회성,4분,함께 웃기,아이가 웃긴 행동을 할 때 크게 웃으며 호응하기,사회적 유머 인지 및 자기 효능감 고취,WHO
6,사회성,2분,사람 흉내,가족의 웃음소리나 재채기 소리를 함께 따라 하기,사회적 모방 및 유대감 형성 도움,CDC
6,사회성,5분,음식 권하기,엄마가 먹는 시늉을 하고 아이에게도 주는 척하기,사회적 나눔의 초기 개념 및 상호작용,Harvard
6,사회성,1분,부드러운 제지,"위험한 물건을 잡을 때 ""안 돼""라고 차분히 말하기",사회적 규칙 및 경계에 대한 초기 인지,UNICEF
6,사회성,3분,거울 속 대화,거울을 보며 엄마와 아이가 서로를 쳐다보게 하기,타인과의 관계 인지 및 시각적 유대감,WHO
6,사회성,5분,반응성 놀이,아이가 소리 내면 엄마도 소리 내어 대화 이어가기,주고받기' 상호작용을 통한 뇌 발달,Harvard
6,사회성,3분,포옹으로 충전,울거나 지쳤을 때 아무 말 없이 따뜻하게 안아주기,정서적 안정 및 스트레스 호르몬 감소,CDC
6,언어,5분,자음 반복,"""마마마"", ""바바바"" 등 자음 섞인 소리 들려주기",음절 분별력 향상 및 옹알이 정교화,CDC
6,언어,3분,이름 반응,멀리서 이름을 불렀을 때 고개를 돌리면 칭찬하기,자기 명칭에 대한 청각적 인지 확립,Harvard
6,언어,10분,그림책 넘기기,두꺼운 보드북을 아이가 직접 넘기게 유도하기,책에 대한 흥미 및 시각-운동 협응,UNICEF
6,언어,2분,사물 가리키기,"""저기 시계 있네?"" 하며 손가락으로 위치 알려주기",공동 주의력 및 지칭어 이해력 발달,WHO
6,언어,5분,옹알이 질문,"아이의 소리에 ""진짜?"", ""그랬어?""라고 대답하기",대화의 논리적 흐름 및 소통 의지 강화,CDC
6,언어,5분,의성어 확장,"동물을 보여주며 ""멍멍"", ""야옹"" 소리 강조하기",소리 모방 및 언어 표현의 다양성 확보,Harvard
6,언어,5분,노래 동작,반짝반짝 작은 별' 노래하며 손동작 보여주기,비언어적 표현과 언어의 결합 이해,UNICEF
6,언어,3분,입 모양 관찰,아이 눈높이에서 천천히 입을 움직여 말하기,조음 기관 관찰 및 발음 모방 기초,WHO
6,언어,2분,물건 찾기 질문,"""공 어디 있지?""라고 묻고 공을 쳐다보게 하기",특정 명칭에 대한 수용 언어 능력 발달,CDC
6,언어,5분,기다림의 소통,말을 건넨 후 아이가 반응할 때까지 5초 기다리기,소통의 주도권 존중 및 반응 유도,Harvard
6,인지,3분,완전 숨기기,장난감을 수건 아래 완전히 숨기고 찾게 하기,대상 영속성 확립 및 기억력 향상,CDC
6,인지,5분,인과관계 버튼,누르면 튀어나오는 장난감(Pop-up) 사용하기,행동에 따른 결과 예측 능력 발달,Harvard
6,인지,2분,물건 떨어뜨리기,컵을 바닥에 던졌을 때 나는 소리 관찰하게 하기,중력과 인과관계에 대한 물리적 탐색,UNICEF
6,인지,5분,두 물체 비교,양손에 다른 질감의 물건을 주고 번갈아 보게 하기,시각-촉각 정보 통합 및 변별력 발달,WHO
6,인지,5분,상자 속 탐험,상자 안에 물건을 넣고 꺼내는 과정 반복하기,"안과 밖, 공간 지각력의 기초 형성",CDC
6,인지,2분,손가락 가리키기,멀리 있는 사물을 가리키며 아이의 시선 유도하기,공동 주의(Joint attention) 형성,Harvard
6,인지,3분,다른 소리 내기,숟가락으로 그릇을 치며 나는 소리 들려주기,도구 사용 및 소리의 다양성 인지,UNICEF
6,인지,3분,거울 속 나 찾기,"거울 속 아이의 얼굴을 만지며 ""누구지?"" 묻기",자아 개념 강화 및 시각적 변별,WHO
6,인지,2분,물건 건네기,아이가 쥔 장난감을 부모에게 주도록 유도하기,주고받는 상호작용 및 사회적 인지,CDC
6,인지,5분,책 속 사물,그림책 속 사물을 실제 사물과 비교해 보여주기,상징(그림)과 실물의 관계 이해 기초,Harvard
6,신체,5분,앉기 밸런스,부모 무릎에 앉히거나 바닥에 앉아 균형 잡기,척추 기립근 강화 및 혼자 앉기 준비,CDC
6,신체,10분,배밀이 도전,좋아하는 공을 조금 멀리 두어 앞으로 나가게 하기,대근육 발달 및 전신 근력 강화,WHO
6,신체,5분,양손 쥐기,두 손에 각각 다른 장난감을 쥐고 흔들게 하기,소근육 조절력 및 뇌 양측 협응 발달,UNICEF
6,신체,10분,손가락 꼬집기,부드러운 음식을 손가락으로 집으려 할 때 돕기,집게손가락(Pincer grasp)의 초기 발달,Harvard
6,신체,5분,목욕 발차기,욕조 안에서 아이가 발차기를 하며 물을 튀기게 하기,하체 근력 강화 및 물에 대한 저항 경험,CDC
6,신체,5분,엎드려 회전,엎드린 상태에서 장난감을 옆에 두어 제자리 회전 유도,복부 근육 강화 및 공간 이동 능력,WHO
6,신체,5분,쭉쭉이 스트레칭,"기저귀 갈 때 다리를 ""쭉쭉"" 늘려주며 마사지하기",관절 유연성 확보 및 성장에 도움,UNICEF
6,신체,2분,잡고 일어서기 기초,부모의 손을 잡고 일어서려는 동작 응원하기,다리 지지력 및 수직 균형 감각 기초,Harvard
6,신체,5분,장난감 옮기기,바닥에 흩어진 장난감을 한곳으로 모으게 유도하기,도구 조작 능력 및 목표 지향적 신체 활동,CDC
6,신체,2분,손뼉 치기 연습,아이의 두 손을 맞잡고 짝짝 박수 소리 내기,소근육 협응 및 모방 동작 발달,WHO
9,사회성,1분,안녕 인사,"외출이나 출근 시 손을 흔들며 ""안녕"" 말하기",사회적 신호 습득 및 이별 의식 형성,CDC
9,사회성,2분,도움 요청 기다리기,어려운 과제 시 아이가 도움을 청할 때까지 지켜보기,문제 해결 의지 및 신뢰 기반 의존성,Harvard
9,사회성,3분,애착물 활용,불안해할 때 평소 좋아하는 인형을 안겨주기,정서적 위안 및 분리 불안 완화,UNICEF
9,사회성,3분,거절 존중,아이가 고개를 돌려 음식을 거부하면 즉시 멈추기,자기 결정권 존중 및 신체 주권 인지,WHO
9,사회성,5분,모방 놀이,빗으로 머리 빗는 시늉을 하고 아이에게 건네기,사회적 역할 모방 및 도구 사용 학습,CDC
9,사회성,2분,감정 공감,"아이가 넘어졌을 때 ""놀랐지?""라고 먼저 다독이기",정서적 안정감 및 공감 능력 발달,Harvard
9,사회성,3분,간단한 심부름,"""공 주세요""라고 말하며 사회적 상호작용 유도하기",주고받는 관계 이해 및 협력 기초,UNICEF
9,사회성,1분,박수 합창,아이가 무언가 성공했을 때 함께 박수 치며 축하하기,성취감 고취 및 긍정적 자아 형성,WHO
9,사회성,1분,자기 조절 대기,아이가 화를 낼 때 스스로 진정할 시간을 잠시 주기,초기 감정 조절 및 자기 통제력 기초,CDC
9,사회성,2분,재회 기쁨 표현,퇴근 후 아이를 번쩍 안아 올리며 환영해주기,주양육자와의 정서적 유대감 재확인,Harvard
9,언어,상시,포인팅 대화,아이가 가리키는 것을 정확한 명칭으로 답해주기,지칭어 습득 및 언어적 욕구 충족,CDC
9,언어,5분,동물 소리 흉내,"동물을 보여주며 ""멍멍"", ""꿀꿀"" 소리 들려주기",소리 변별력 및 의성어 모방 능력,Harvard
9,언어,3분,간단한 지시,"""기저귀 가져올까?"" 같은 쉬운 지시 내려보기",수용 언어(알아듣기) 능력의 급격한 발달,UNICEF
9,언어,5분,단어 조합,"""맘마 먹자"", ""자자 가자"" 등 두 단어 연결해 말하기",문장 구조에 대한 초기 노출 및 인지,WHO
9,언어,3분,입 모양 강조,아이가 보는 앞에서 입을 크게 벌려 천천히 말하기,조음 기관 관찰을 통한 발음 학습 도움,CDC
9,언어,5분,노래 함께 부르기,아는 노래가 나오면 아이의 옹알이 유도하며 부르기,리듬감 및 언어적 표현의 즐거움 강화,Harvard
9,언어,1분,부정어 인지,"""안 돼""라고 차분히 말하고 아이의 반응 살피기",언어적 금지 명령에 대한 이해와 반응,UNICEF
9,언어,2분,가족 이름 대화,"""아빠 어디 있지?""라고 묻고 사람 찾게 하기",가족 명칭과 대상의 연결 능력 향상,WHO
9,언어,5분,그림책 질문,"""사과 어디 있어?""라고 묻고 그림 짚게 하기",단어 인지 확인 및 집중력 향상,CDC
9,언어,5분,대화 주고받기,아이의 소리에 반응하고 다시 아이의 소리를 기다리기,대화의 턴 테이킹(Turn-taking) 규칙 습득,Harvard
9,인지,5분,상자 속 보물,상자 안에 물건을 숨겼다 짜잔 하고 보여주기,대상 영속성 확립 및 호기심 자극,CDC
9,인지,3분,끈 당기기,끈에 연결된 장난감을 당겨서 가져오게 하기,도구 활용 및 인과관계에 대한 깊은 이해,Harvard
9,인지,5분,분류 놀이,큰 블록과 작은 블록을 나누는 모습 보여주기,크기 및 모양에 대한 논리적 분류 기초,UNICEF
9,인지,3분,거울 속 나 인지,거울 속 얼굴에 스티커를 붙이고 떼게 유도하기,자기 인식(Self-recognition) 능력 확인,WHO
9,인지,5분,물건 넣기,구멍이 있는 통에 작은 공을 넣어보게 하기,공간 지각력 및 미세 소근육 협응,CDC
9,인지,5분,그림과 실물,사과 그림을 보여준 뒤 실제 사물을 가져와 보여주기,상징과 실제의 연합 인지 능력 향상,Harvard
9,인지,5분,인과관계 확인,버튼을 누르면 노래가 나오는 장난감 스스로 누르기,자기 주도적 문제 해결 및 원리 파악,UNICEF
9,인지,3분,감춰진 것 찾기,담요 두 개 중 장난감이 든 쪽을 찾아내게 하기,기억력 유지 및 추론 능력 발달,WHO
9,인지,5분,모방 행동,부모가 컵으로 물 마시는 시늉을 하면 따라 하게 하기,관찰을 통한 학습 능력 및 사회적 인지,CDC
9,인지,5분,장애물 탐색,기어가는 경로에 낮은 방석을 두어 넘어가게 하기,공간 이동 전략 수립 및 문제 해결,Harvard
9,신체,5분,잡고 일어서기,소파나 튼튼한 의자를 잡고 스스로 서게 유도하기,하체 근력 및 수직 균형 감각 발달,CDC
9,신체,10분,집게손가락,작은 과자 조각을 엄지와 검지로 집어 먹게 하기,소근육(Pincer grasp)의 정교한 발달,WHO
9,신체,5분,계단 기어오르기,낮은 매트 계단을 손과 무릎을 이용해 오르게 돕기,대근육 협응력 및 신체 자신감 향상,UNICEF
9,신체,30초,손 떼고 서기,잡고 서 있는 상태에서 손을 아주 잠시 떼보게 하기,독립적인 균형 잡기 및 핵심 근육 강화,Harvard
9,신체,10분,장난감 옮기기,기어 다니며 물건을 한 장소에서 다른 장소로 이동,이동 능력과 도구 조작의 결합,CDC
9,신체,3분,양손 박수,"동요 리듬에 맞춰 ""짝짝"" 소리 내며 손뼉 치기",소근육 협응 및 리듬 반응 능력,WHO
9,신체,3분,손씻기 참여,세면대에서 물의 흐름을 느끼며 손 비비게 하기,자조 기술의 기초 및 촉각 자극,UNICEF
9,신체,5분,공 굴리기,마주 앉아 부드러운 공을 아이 쪽으로 굴려주기,시각-운동 협응력 및 대근육 조절,Harvard
9,신체,5분,기어 가기 레이스,엄마가 앞에서 부르며 빠르게 기어오도록 유도하기,전신 근지구력 및 순발력 발달,CDC
9,신체,2분,까꿍 동작,"""까꿍"" 하며 손으로 눈을 가렸다 떼는 동작 하기",얼굴 주변 근육 협응 및 모방 동작,WHO